week_ending,LA_JET_1,LA_JET_2,LA_JET_3,M1_M2,M1_M3,M2_M3,GC_JET_1,GC_JET_2,GC_JET_3,M1_M2,M1_M3,M2_M3,NY_JET_1,NY_JET_2,NY_JET_3,M1_M2,M1_M3,M2_M3,LA_SPRD_1,LA_SPRD_2,LA_SPRD_3,SP_M1_M2,SP_M1_M3,SP_M2_M3,GC_SPRD_1,GC_SPRD_2,GC_SPRD_3,SP_M1_M2,SP_M1_M3,SP_M2_M3,NY_SPRD_1,NY_SPRD_2,NY_SPRD_3,SP_M1_M2,SP_M1_M3,SP_M2_M3,CL_1,CL_2,CL_3,CL_M1_M2,CL_M1_M3,CL_M2_M3,HO_1,HO_2,HO_3,HO_M1_M2,HO_M1_M3,HO_M2_M3,LA_NY_1,LA_GC_1,NY_GC_1,LA_NY_2,LA_GC_2,NY_GC_2,LA_NY_3,LA_GC_3,NY_GC_3
2017-12-01,185.88,185.61,184.71,0.2699999999999818,1.1699999999999875,0.9000000000000057,177.12,177.39,177.23,-0.2699999999999818,-0.10999999999998522,0.1599999999999966,185.84,185.69,184.8,0.15000000000000568,1.039999999999992,0.8899999999999864,-7.45,-7.55,-7.55,0.09999999999999964,0.09999999999999964,0.0,-16.21,-15.77,-15.02,-0.4400000000000013,-1.1900000000000013,-0.75,-7.49,-7.47,-7.45,-0.020000000000000462,-0.040000000000000036,-0.019999999999999574,57.83,57.88,57.82,-0.05000000000000426,0.00999999999999801,0.060000000000002274,193.09,193.33,193.16,-0.2400000000000091,-0.06999999999999318,0.17000000000001592,0.03999999999999204,8.759999999999991,8.719999999999999,-0.07999999999998408,8.220000000000027,8.300000000000011,-0.09000000000000341,7.480000000000018,7.570000000000022
2017-12-08,183.45,182.71,181.18,0.7399999999999807,2.269999999999982,1.5300000000000011,175.98,175.53,174.32,0.44999999999998863,1.6599999999999966,1.210000000000008,184.61,183.9,182.39,0.710000000000008,2.2200000000000273,1.5100000000000193,-6.43,-6.46,-6.48,0.03000000000000025,0.05000000000000071,0.020000000000000462,-13.9,-13.64,-13.34,-0.2599999999999998,-0.5600000000000005,-0.3000000000000007,-5.28,-5.28,-5.28,0.0,0.0,0.0,57.02,57.08,57.07,-0.05999999999999517,-0.04999999999999716,0.00999999999999801,189.91,189.99,189.28,-0.0800000000000125,0.6299999999999955,0.710000000000008,-1.160000000000025,7.469999999999999,8.630000000000024,-1.1899999999999977,7.180000000000007,8.370000000000005,-1.2099999999999795,6.860000000000014,8.069999999999993
2017-12-15,186.41,186.01,184.36,0.4000000000000057,2.049999999999983,1.6499999999999773,179.06,178.62,177.24,0.4399999999999977,1.8199999999999932,1.3799999999999955,189.48,188.84,187.24,0.6399999999999864,2.2399999999999807,1.5999999999999943,-6.05,-5.76,-5.77,-0.29000000000000004,-0.28000000000000025,0.009999999999999787,-13.4,-13.14,-12.89,-0.2599999999999998,-0.5099999999999998,-0.25,-2.99,-2.93,-2.89,-0.06000000000000005,-0.10000000000000009,-0.040000000000000036,57.21,57.24,57.18,-0.030000000000001137,0.030000000000001137,0.060000000000002274,192.04,192.13,191.45,-0.09000000000000341,0.5900000000000034,0.6800000000000068,-3.069999999999993,7.349999999999994,10.419999999999987,-2.8300000000000125,7.389999999999986,10.219999999999999,-2.8799999999999955,7.1200000000000045,10.0
2017-12-22,187.44,187.96,186.17,-0.5200000000000102,1.2700000000000102,1.7900000000000205,181.14,180.79,179.31,0.3499999999999943,1.829999999999984,1.4799999999999898,190.01,189.21,187.42,0.799999999999983,2.5900000000000034,1.7900000000000205,-7.28,-5.97,-5.97,-1.3100000000000005,-1.3100000000000005,0.0,-13.58,-13.13,-12.83,-0.4499999999999993,-0.75,-0.3000000000000007,-4.71,-4.72,-4.72,0.009999999999999787,0.009999999999999787,0.0,57.91,57.97,57.97,-0.060000000000002274,-0.060000000000002274,0.0,194.58,194.77,193.99,-0.18999999999999773,0.5900000000000034,0.7800000000000011,-2.569999999999993,6.300000000000011,8.870000000000005,-1.25,7.170000000000016,8.420000000000016,-1.25,6.859999999999985,8.109999999999985
2017-12-29,195.93,194.98,192.46,0.950000000000017,3.469999999999999,2.519999999999982,188.71,187.71,185.83,1.0,2.8799999999999955,1.8799999999999955,198.4,196.75,194.22,1.6500000000000057,4.180000000000007,2.530000000000001,-7.13,-6.43,-6.43,-0.7000000000000002,-0.7000000000000002,0.0,-14.35,-13.7,-13.05,-0.6500000000000004,-1.299999999999999,-0.6499999999999986,-4.66,-4.66,-4.66,0.0,0.0,0.0,59.97,60.0,59.98,-0.030000000000001137,-0.00999999999999801,0.020000000000003126,205.16,204.85,203.01,0.3100000000000023,2.1500000000000057,1.8400000000000034,-2.469999999999999,7.219999999999999,9.689999999999998,-1.7700000000000102,7.269999999999982,9.039999999999992,-1.759999999999991,6.6299999999999955,8.389999999999986
2018-01-05,199.9,197.95,195.99,1.950000000000017,3.9099999999999966,1.9599999999999795,191.41,189.25,188.15,2.1599999999999966,3.259999999999991,1.0999999999999943,200.47,197.7,195.75,2.7700000000000102,4.719999999999999,1.9499999999999886,-5.01,-4.2,-4.22,-0.8099999999999996,-0.79,0.019999999999999574,-13.5,-12.9,-12.06,-0.5999999999999996,-1.4399999999999995,-0.8399999999999999,-4.44,-4.46,-4.47,0.019999999999999574,0.02999999999999936,0.009999999999999787,61.36,61.31,61.19,0.04999999999999716,0.1700000000000017,0.12000000000000455,207.05,205.06,202.36,1.990000000000009,4.689999999999998,2.6999999999999886,-0.5699999999999932,8.490000000000009,9.060000000000002,0.25,8.699999999999989,8.449999999999989,0.2400000000000091,7.840000000000003,7.599999999999994
2018-01-12,200.9,200.23,198.54,0.6700000000000159,2.3600000000000136,1.6899999999999977,193.56,192.04,191.0,1.5200000000000102,2.5600000000000023,1.039999999999992,201.82,199.86,198.19,1.9599999999999795,3.6299999999999955,1.670000000000016,-5.45,-4.16,-4.17,-1.29,-1.2800000000000002,0.009999999999999787,-12.8,-12.35,-11.71,-0.45000000000000107,-1.0899999999999999,-0.6399999999999988,-4.54,-4.53,-4.52,-0.009999999999999787,-0.020000000000000462,-0.010000000000000675,63.27,63.18,63.0,0.09000000000000341,0.2700000000000031,0.17999999999999972,207.08,206.14,204.23,0.9400000000000261,2.8500000000000227,1.9099999999999966,-0.9199999999999875,7.340000000000003,8.259999999999991,0.3699999999999761,8.189999999999998,7.820000000000022,0.3499999999999943,7.539999999999992,7.189999999999998
2018-01-19,202.86,202.58,201.19,0.28000000000000114,1.670000000000016,1.3900000000000148,194.44,193.43,192.4,1.009999999999991,2.039999999999992,1.0300000000000011,202.13,200.58,199.19,1.549999999999983,2.9399999999999977,1.3900000000000148,-3.92,-2.66,-2.68,-1.2599999999999998,-1.2399999999999998,0.020000000000000018,-12.35,-11.81,-11.46,-0.5399999999999991,-0.8899999999999988,-0.34999999999999964,-4.66,-4.66,-4.67,0.0,0.009999999999999787,0.009999999999999787,63.76,63.7,63.53,0.05999999999999517,0.22999999999999687,0.1700000000000017,206.32,205.86,204.4,0.45999999999997954,1.9199999999999875,1.460000000000008,0.7300000000000182,8.420000000000016,7.689999999999998,2.0,9.150000000000006,7.150000000000006,2.0,8.789999999999992,6.789999999999992
2018-01-26,205.89,205.1,204.46,0.789999999999992,1.4299999999999784,0.6399999999999864,199.14,197.78,196.14,1.3599999999999852,3.0,1.6400000000000148,206.24,204.37,202.72,1.8700000000000045,3.5200000000000102,1.6500000000000057,-3.9,-2.83,-1.83,-1.0699999999999998,-2.07,-1.0,-10.65,-10.15,-10.15,-0.5,-0.5,0.0,-3.55,-3.56,-3.57,0.010000000000000231,0.020000000000000018,0.009999999999999787,65.04,64.92,64.66,0.12000000000000455,0.38000000000000966,0.2600000000000051,210.01,209.55,207.75,0.45999999999997954,2.259999999999991,1.8000000000000114,-0.35000000000002274,6.75,7.100000000000023,0.7299999999999898,7.319999999999993,6.590000000000003,1.740000000000009,8.320000000000022,6.5800000000000125
2018-02-02,203.85,204.54,203.68,-0.6899999999999977,0.1699999999999875,0.8599999999999852,196.58,195.35,194.02,1.2300000000000182,2.5600000000000023,1.329999999999984,203.2,201.77,200.33,1.4299999999999784,2.869999999999976,1.4399999999999977,-2.91,-0.8,-0.23,-2.1100000000000003,-2.68,-0.5700000000000001,-10.19,-9.99,-9.89,-0.1999999999999993,-0.29999999999999893,-0.09999999999999964,-3.57,-3.57,-3.57,0.0,0.0,0.0,65.21,64.98,64.67,0.22999999999998977,0.539999999999992,0.3100000000000023,207.79,207.07,205.63,0.7199999999999989,2.1599999999999966,1.4399999999999977,0.6500000000000057,7.269999999999982,6.619999999999976,2.769999999999982,9.189999999999998,6.420000000000016,3.3499999999999943,9.659999999999997,6.310000000000002
